SentenceID,CodeSwitchedSentence,IndicesOfCodeSwitchedWord,IndicesOfPunctuation,TranslatedSentence,AddedWordList
916,野餐 防水 毯子 queen size ： 5$brand new,[3_4_5_6_7],[5],野餐防水毯子大号：5$brand新,
917,小区 不 提供 bus pass ， 所以 可以 申请 学校 的 ride for five （ 无敌 便宜 等于 不 要 钱 ） 。,[3_4_5_11_12_13_14],[5_14_21_22],小区不提供公交车卡，所以可以申请学校的五人车票（无敌便宜等于不要钱）。,
918,生活 便捷 ： 公寓 提供 bus pass ， 可 坐 v ， ve ， n ， nv .,[5_6_7_10_11_12_13_14_15_16_17],[2_7_11_13_15_17],生活便捷：公寓提供公交车卡，可坐v，ve，n，nv.,[nv]
919,上学 便利 ： 小学 为 easterly,[5],[2],上学便利：小学为Easterly小学,
920,小区 后面 一路 之 隔 就 是 high school .,[7_8_9],[9],小区后面一路之隔就是高中.,
921,新 主人 的 lease 是 跟 office 直接 签 ， 如果 新 主人 在 中国 ， 我们 可以 在 你们 签 lease 过程 中 帮忙 。,[3_6_21],[9_15_25],新主人的租金是跟办公室直接签，如果新主人在中国，我们可以在你们签租金过程中帮忙。,
922,客厅 图片 房间 a 房间 b,[3_5],,客厅图片房间a房间b,
923,每 个 月 2-3 gb data ， 根据 人数 调整 ， 大约 还 可以 加2-3 人 ， 希望 至少 呆 一 年 。,[3_4_5_6_14],[6_10_16_22],每个月2-3千兆，根据人数调整，大约还可以加2-3人，希望至少呆一年。,
924,cable 是 免费 的 。,[0],[4],光纤是免费的。,
925,小区 包 bus pass 。,[2_3_4],[4],小区包公交车卡。,
926,apartment 是 四 室 两 卫 ， 在 第一 层 ， 不用 爬 楼梯 ， 距离 bus stop 只要 1-2 分钟 。,[0_16_17_19],[6_10_14_21],公寓是四室两卫，在第一层，不用爬楼梯，距离公交车站只要1-2分钟。,
927,如果 有 想要 看看 apartment 的 可以 联系 我 。,[4],[9],如果有想要看看公寓的可以联系我。,
928,该 小区 在 state college 的 口碑 极 好 ， 物业 相当 负责 。,[3_4],[9_13],该小区在statecollege的口碑极好，物业相当负责。,
929,优质 小区 imperial,[2],,优质小区imperial,
930,该 小区 在 state,[3],,该小区在state,
931,college 的 口碑 很 好 ， 小区 物业 管理 非常 负责 ， office 人员 很 nice 易 沟通 。,[0_12_15],[5_11_18],college的口碑很好，小区物业管理非常负责，办公室人员很友好易沟通。,
932,包含 bus pass ， 室内 家具 齐全 。,[1_2_3],[3_7],包含公交车卡，室内家具齐全。,
933,出租 vv 健身 卡 ， 可以 使用 vv 的 健身房 和 游泳池 。,[1_7],[4_12],出租vv健身卡，可以使用vv的健身房和游泳池。,
934,提供 ride 地点 ： state college 机场 ， 以及 纽约 ， 华盛顿 ， 费城 ， 巴尔的摩 ， 所有 机场 。,[1_4_5],[3_7_10_12_14_16_19],提供拼车地点：statecollege机场，以及纽约，华盛顿，费城，巴尔的摩，所有机场。,
935,安静 不 开 party 。,[3_4],[4],安静不开派对。,
936,房租 合同 包 buss pass 和 网络 ， 不 包 水电 。,[3_4],[7_11],房租合同包公交车卡和网络，不包水电。,
937,想 找 离 research drive 近 的 地方 住 。,[3_4],[9],想找离research路近的地方住。,
938,小区 附近 有 几 个 大型 超市 ， 比较 方便 ， 而且 没有 party ， 很 清静 。,[13_14],[7_10_14_17],小区附近有几个大型超市，比较方便，而且没有派对，很清静。,
939,小区 附近 有 几 个 大型 超市 ， 比较 方便 ， 而且 没有 party ， 很 清静 。,[13_14],[7_10_14_17],小区附近有几个大型超市，比较方便，而且没有派对，很清静。,
940,我们 building 旁边 就 是 个 公园 可以 跑步 散步 。,[1],[10],我们楼旁边就是个公园可以跑步散步。,
941,phd 狗 生活 不 易 ， 我 不 会 有 任何 的 负面 能量 同时 也 希望 你 不要 为 我 的 生活 增加 难度 ， 如果 你 属于 事 比较 多 的 人 请 绕道 走 .,[0],[5_25_37],研究生狗生活不易，我不会有任何的负面能量同时也希望你不要为我的生活增加难度，如果你属于事比较多的人请绕道走.,
942,park crest 应该 大家 都 很 熟悉 了 ， 性价比 最高 之一 （ 我 个人 觉得 只有 imperial tower 可以 与 之一 比 ） ， 如果 你 需要 照片 和 需要 了解 其他 信息 ， 可以 联系 我 。,[0_1_17_18],[8_12_23_24_34_38],波峰公园应该大家都很熟悉了，性价比最高之一（我个人觉得只有帝国大厦可以与之一比），如果你需要照片和需要了解其他信息，可以联系我。,
943,个人 联系 方式 pn-11 （ preferred ） 。,[5_6_7],[3_4_6_7],个人联系方式814-777-7220（首选）。,
944,什么 size ?,[1_2],[2],什么大小?,
945,目前 plan 里 共 有 两 人 ， 还可 有 一 人 加入 。,[1],[7_13],目前计划里共有两人，还可有一人加入。,
946,租 主 是 好 相处 热心肠 逗 比 又 安静 的 phd 。,[11_12],[12],租主是好相处热心肠逗比又安静的研究生。,
947,联系 方式 ： pn-12 email ： em@46,[4_5_6],[2_3_5_6],em@47,
948,需求 ： 大 window ；,[3_4],[1_4],需求：大窗；,
949,crest 不 包 bus,[0_3],,crest不包公交车,
950,pass ， 我 租 了 别人 的 bus,[0_1_7],[1],卡，我租了别人的公交车,
951,pass 每 月 $35 ，,[0],[4],卡每月$35，,
952,请 问 明天 有 到 harrisburg 或者 途经 的 车 吗 ？,[5],[11],请问明天有到哈里斯堡或者途经的车吗？,
953,我们 向 中国 留学生 提供 办理 opt 挂靠 以及 stem 专业 extension ， 以及 关于 opt/h1b 身份 的 咨询 解答 服务 。,[6_9_11_12],[12_21],我们向中国留学生提供办理选择挂靠以及stem专业延期，以及关于选择/h1b身份的咨询解答服务。,
954,我们 已经 为 来自 美国 各个 地区 、 学校 、 专业 的 同学 成功 办理 opt 挂靠 ， extension 延期 ， 回国 签证 、 实习 证明 、 背景 调查 等等 。,[15_18],[7_9_17_20_23_26_30],我们已经为来自美国各个地区、学校、专业的同学成功办理选择挂靠，延期延期，回国签证、实习证明、背景调查等等。,
955,安静 不 开 party 。,[3_4],[4],安静不开派对。,
956,房租 合同 包 buss pass 和 网络 ， 不 包 水电 。,[3_4],[7_11],房租合同包公交车卡和网络，不包水电。,
957,你 好 ， 我 给 你 发 了 email 。,[8_9],[2_9],你好，我给你发了电子邮件。,
958,小区 的 设施 还 包括 健身房 ， 游泳池 ， 还 有 一 个 reading room 。,[13_14_15],[6_8_15],小区的设施还包括健身房，游泳池，还有一个阅览室。,
959,热带 雨林 ( maybe ) 。,[3_4_5],[2_4_5],热带雨林(也许)。,
960,村 这个 地方 只有 downtown 信号 满 格 ， 越 北边 越 烂 。,[4],[8_13],村这个地方只有市中心信号满格，越北边越烂。,
961,出 了 村 ， 大部分 我 常 去 的 州 md ， va ， ny 郊区 的 时候 真的 没有 att 效果 好 。,[10_11_12_13_14_20],[3_11_13_23],出了村，大部分我常去的州md，va，ny郊区的时候真的没有att效果好。,
962,照片 和 价格 见 google drive 链接 。,[4_5],[7],照片和价格见谷歌云盘链接。,
963,求 ride 11 .,[1_2_3],[3],求拼车11.,[11]
964,两 层 楼 ， 一 层 客厅 / family room ， 厨房 ， 餐厅 ， 卫生间 ， 二 层 两 个 卧室 ， 一 个 full bath 。,[8_9_10_25_26_27],[3_7_10_12_14_16_22_27],两层楼，一层客厅/卧室，厨房，餐厅，卫生间，二层两个卧室，一个卫生间。,
965,有 兴趣 可 联系 以下 email ： em@23,[5_6_7],[6_7],em@48,
966,如 有 意向 ， 请 email 联系 ： em@49,[5],[3_7_8],em@50,
967,包 水电 暖 以及 bus pass 。,[4_5_6],[6],包水电暖以及公交车卡。,
968,这个 周末 有人 想 去 grove city outlet 嘛 ？,[5_6_7],[9],这个周末有人想去格鲁夫城的市场嘛？,
969,位置 很 好 ， 一 分钟 内 走到 downtown 的 target 和 h&m ， 两 份 钟 走到 campus 。,[8_10_18_19],[3_13_19],位置很好，一分钟内走到市中心的target和h&m，两份钟走到校区。,
970,价格 在 downtown 已经 算是 最 便宜 的 。,[2],[8],价格在市中心已经算是最便宜的。,
971,房间 不 带 厨房 ， shared bathroom 。,[5_6_7],[4_7],房间不带厨房，公共浴室。,
972,有 兴趣 可以 email ： em@51,[3_4_5],[4_5],em@52,
973,二 楼 有 一 个 share 的 卫生间 + 浴室 。,[5],[8_10],二楼有一个公共的的卫生间+浴室。,
974,我们 向 中国 留学生 提供 办理 opt 挂靠 以及 stem 专业 extension ， 以及 关于 opt/h1b 身份 的 咨询 解答 服务 。,[6_9_11_12],[12_21],我们向中国留学生提供办理选择挂靠以及stem专业延期，以及关于选择/h1b身份的咨询解答服务。,
975,我们 已经 为 来自 美国 各个 地区 、 学校 、 专业 的 同学 成功 办理 opt 挂靠 ， extension 延期 ， 回国 签证 、 实习 证明 、 背景 调查 等等 。,[15_18],[7_9_17_20_23_26_30],我们已经为来自美国各个地区、学校、专业的同学成功办理选择挂靠，延期延期，回国签证、实习证明、背景调查等等。,
976,想 锻炼 英语 的 女生 想 和 外国人 一起 住 的 可以 考虑 这个 apt 。,[14_15],[15],想锻炼英语的女生想和外国人一起住的可以考虑这个公寓。,
977,三 室 individual bathroom 。,[2_3_4],[4],三室独立的卧室。,
978,一 个 american 一 个 black 。,[2_5_6],[6],一个美国人一个黑人。,
979,有 free off street parking lot 。,[1_2_3_4_5_6],[6],有免费的街边停车位。,
980,bus 卡 也 是 included 这 是 grove 的 视频 链接 ：,[0_4_7],[11],公交车卡卡也是包含在内的这是grove的视频链接：,
981,【 求 ride 】 求 10 .,[0_2_3],[0_3_6],【求拼车】求10.,[10]
982,联系 方式 ： email em@53,[3_4],[2_4],em@54,
983,自 顶 一下 ， 司机 还 在 继续 zhao,[8],[3],自顶一下，司机还在继续招,
984,moving in date is flexible ( in october it is acceptable ) 欢迎 个人 ， 和 家庭 。,[0_1_2_3_4_5_6_7_8_9_10_11],[5_11_14_17],搬进来的日期是灵活的(十月份是可以接受的)欢迎个人，和家庭。,
985,现在 只 九月 or middle august 有 房 出租,[3_4_5],,现在只九月或者是八月中有房出租,
986,小区 门口 有 三 个 公交 车站 可以 选择 ， 线路 有 ve ， v ， vn ， n ， nv 。,[12_13_14_15_16_17_18_19_20_21],[9_13_15_17_19_21],小区门口有三个公交车站可以选择，线路有ve，v，vn，n，nv。,
987,router 已 卖,[0],,路由器已卖,
988,想 锻炼 英语 的 女生 想 和 外国人 一起 住 的 可以 考虑 这个 apt 。,[14_15],[15],想锻炼英语的女生想和外国人一起住的可以考虑这个公寓。,
989,三 室 individual bathroom 。,[2_3_4],[4],三室独立的卧室。,
990,一 个 american 一 个 black 。,[2_5_6],[6],一个美国人一个黑人。,
991,有 free off street parking lot 。,[1_2_3_4_5_6],[6],有免费的街边停车位。,
992,bus ： nv ， vn ， hp 这 是 grove 的 视频 链接 ：,[0_1_2_3_4_5_6_9],[1_3_5_13],公交车卡：nv，vn，hp这是grove的视频链接：,
993,我 可以 和 你 换 ticket 。,[5_6],[6],我可以和你换票。,
994,在 executive house apartments ， 可以 看 我 发 的 帖子,[1_2_3_4],[4],在单独的，可以看我发的帖子,
995,无 事故 记录 ， clean title ， 按时 保养 。,[4_5_6],[3_6_9],无事故记录，干净的头衔，按时保养。,
996,欢迎 试车 ， 我 经常 在 学校 ， 或者 在 北面 giant 附近 。,[11],[2_7_13],欢迎试车，我经常在学校，或者在北面giant附近。,
997,html 这 是 网址,[0],,html这是网址,
998,本人 女 ， 安静 爱 干净 ， 不 开 party 。,[9_10],[2_6_10],本人女，安静爱干净，不开派对。,
999,可以 为 你 提供 mock interview 和 内 推 。,[4_5],[9],可以为你提供模拟面试和内推。,
1000,公寓 离 bus stop 稍 远 但 环境 安静 绝 不 会 吵闹 。,[2_3],[13],公寓离公交车站稍远但环境安静绝不会吵闹。,
1001,yellow ， 包 很 轻 ， 很 新 。,[0_1],[1_5_8],黄色，包很轻，很新。,
1002,park crest 客房 出租 。,[0_1],[4],波峰公园客房出租。,
1003,居住 情况 ： 有 衣帽间 ， 两 人 share 一 个 卫生间 。,[8],[2_5_12],居住情况：有衣帽间，两人公共的一个卫生间。,
1004,卧室 里 带有 十分 宽敞 的 独立 卫浴 ， 以及 walk in closet ， 十分 适合 女生 。,[10_11_12_13],[8_13_17],卧室里带有十分宽敞的独立卫浴，以及壁橱衣柜，十分适合女生。,
1005,可 上 parkway plaza 的 官 网 查看 。,[2_3],[8],可上parkwayplaza的官网查看。,
1006,找到 以后 share 一下 吧 ！,[2],[5],找到以后公共的一下吧！,
1007,小区 门口 有 三 个 公交 车站 可以 选择 ， 线路 有 ve ， v ， vn ， n ， nv 。,[12_13_14_15_16_17_18_19_20_21],[9_13_15_17_19_21],小区门口有三个公交车站可以选择，线路有ve，v，vn，n，nv。,
1008,up up 价格 可以 商量,[0_1],,高高价格可以商量,
1009,toaster 太 可爱 了 啊,[0],,烤面包机太可爱了啊,
1010,需要 ppt ， office 技能 与 国内 教育 资源 有 联系 者 优先 ；,[1_2_3],[2_13],需要幻灯片，办公室技能与国内教育资源有联系者优先；,
1011,mba 毕业 优先 。,[0],[3],工商管理学硕士毕业优先。,
1012,求 分享 一 条 line 。,[4_5],[5],求分享一条线。,
1013,因为 物品 太 多 ， 准备 搞 一 个 garage sale 。,[9_10_11],[4_11],因为物品太多，准备搞一个车库拍卖。,
1014,honeywell 电风扇 - $ 10 .,[0],[2_3_5],honeywell电风扇-$10.,[10]
1015,本 帖 由 更新 ， 毕业 甩卖 ， 准备 搞 一 个 garage sale ， 请 大家 多多 关注 。,[12_13_14],[4_7_14_19],本帖由更新，毕业甩卖，准备搞一个车库拍卖，请大家多多关注。,
1016,如果 有 兴趣 ， 请 留言 ， 我 分别 告诉 大家 garage sale 的 地址 。,[11_12],[3_6_15],如果有兴趣，请留言，我分别告诉大家车库拍卖的地址。,
1017,id=0b3y24 hr6iquweuz4ofm2u1pvlwm&usp = sharing 感 兴趣 请 联系 ： em@55,[0_1_2_3],[2_8_9],em@56,
1018,卧室 里 带有 十分 宽敞 的 独立 卫浴 ， 以及 walk in closet ， 十分 适合 女生 。,[10_11_12_13],[8_13_17],卧室里带有十分宽敞的独立卫浴，以及壁橱衣柜，十分适合女生。,
1019,html 参考 图片,[0],,html参考图片,
1020,卧室 里 带有 十分 宽敞 的 独立 卫浴 ， 以及 walk in closet ， 十分 适合 女生 。,[10_11_12_13],[8_13_17],卧室里带有十分宽敞的独立卫浴，以及壁橱衣柜，十分适合女生。,
1021,学校 计算机 lab 同 款 。,[2],[5],学校计算机实验室同款。,
1022,你 好 ， 你 的 google drive 显示 里面 没有 照片 啊,[5_6],[2],你好，你的谷歌云盘显示里面没有照片啊,
1023,一 年 医疗 保险 多少 钱 ， 今年 waive 学校 的 requirement 有 没 有 遇到 问题,[8_11],[6],一年医疗保险多少钱，今年放弃学校的需求有没有遇到问题,
1024,本人 为 at&t family plan 的 holder ， 邀请 新 成员 加入 。,[3_4_6_7],[7_12],本人为at&t家庭套餐的持有至，邀请新成员加入。,
1025,由于 dickinson law 在 carlisle ， 在 那儿 的 中国 留学生 并不 多 ， 所以 很 难 联系 。,[1_2_4_5],[5_13_18],由于dickinsonlaw在carlisle，在那儿的中国留学生并不多，所以很难联系。,
1026,如 有 同学 或 老师 正巧 在 carlisle 或者 有 认识 的 人 在 那里 ， 麻烦 告诉 我 一下 。,[7],[15_20],如有同学或老师正巧在carlisle或者有认识的人在那里，麻烦告诉我一下。,
1027,房间 是 三 楼 ， 最 大 的 那 间 ～～～一 人 住 或 couple 住 都 相当 合适 ！,[14],[4_19],房间是三楼，最大的那间～～～一人住或情侣住都相当合适！,
1028,lease 是 到 明年 八月 的,[0],,租金是到明年八月的,
1029,求 ride ， share 相关 费用 631-9650429,[1_2_3_6],[2],求拼车，共享相关费用631-9650429,
1030,html 请 联系 em@57,[0],[3],em@58,
1031,驾照 permit 已经 拿到 了 ， 求 老 司机 带 一下 ， 自己 没有 车 。,[1],[5_11_15],驾照许可证已经拿到了，求老司机带一下，自己没有车。,
1032,updated ， 一些 东西 已经 没有 了 。,[0_1],[1_7],更新，一些东西已经没有了。,
1033,而且 我 连 邮件 都 没 收到 ， printed enrollment 里 student id 都 是 错 的 。,[8_9_11_12],[7_17],而且我连邮件都没收到，纸质的报名信里学生id都是错的。,
1034,为了 诗 和 远方 -- kai,[4_5],,为了诗和远方--kai,
1035,queen size 超 舒服 的 床 ， 几乎 全新 ， 个人 原因 出售 .,[0_1],[6_9_13],大号超舒服的床，几乎全新，个人原因出售.,
1036,因 搬家 变成 full size 床 不 能 再 用 。,[3_4],[10],因搬家变成全尺寸床不能再用。,
1037,麻烦 发 msg 联系 ： pn-13,[2],[4_5],麻烦发短信联系：757-532-5183,
1038,因为 没 什么 东西 ， 所以 单独 找 ride 有点 亏 （ 单独 找 ride 的 钱 比 我 要 换 的 东西 还 贵 = = ） ， 希望 能 找到 本来 就要 去 匹兹堡 的 人 ， 有偿 搭车 （ 价钱 可 单独 商量 ~ ） ， 或者 一起 找 ride ， share 费用 。,[8_14_52_53_54],[4_11_25_26_27_28_38_41_46_47_48_53_56],因为没什么东西，所以单独找拼车有点亏（单独找拼车的钱比我要换的东西还贵==），希望能找到本来就要去匹兹堡的人，有偿搭车（价钱可单独商量~），或者一起找拼车，share费用。,
1039,放 个 google 相册 链接 吧 .,[2],[6],放个谷歌相册链接吧.,
1040,紧邻 high school ， ymca 等 运动 场所 。,[1_2_3_4],[3_8],紧邻高中，ymca等运动场所。,
1041,我 是 michigan state university 毕业 的 美国人 ， 现在 跟 mandarin consulting 公司 工作 。,[2_3_4_11_12],[8_15],我是密西根州立大学毕业的美国人，现在跟普通话咨询公司公司工作。,
1042,corolla 车 耐用 可靠 。,[0],[4],卡罗拉车耐用可靠。,
1043,最近 计划 带 孩子 出去 玩 一 趟 ， 想 结伴 同行 ， 自 驾 出游 能 提供 ride 的 吗 ？,[18],[8_12_21],最近计划带孩子出去玩一趟，想结伴同行，自驾出游能提供拼车的吗？,
1044,em@59 我 补充 了 amazon 的 链接 啦 ， 现在 应该 可以 看到 图 了 吧 ~,[0_4],[0_8_16],em@60,
1045,s = pc&ie = utf8&qid = 1471200603&sr=1-1&keywords = arris+sb6121一 年 前 购 于 amazon 。,[0_1_2_3_4_5_6_7_8_13_14],[1_3_5_7_14],s=pc&ie=utf8&qid=1471200603&sr=1-1&keywords=arris+sb6121一年前购于亚马逊。,
1046,但是 不 是 独立 卫生间 ， 要 share 。,[7_8],[5_8],但是不是独立卫生间，要公共的。,
1047,有 没 有 park forest ， park crest ， vv 及 附近 租房 二 缺 一 ， 三 缺 一 的 ？,[3_4_5_6_7_8_9],[5_8_16_21],有没有森林公园，波峰公园，vv及附近租房二缺一，三缺一的？,
1048,有 人 在 美国 考 过 gre 吗 ？,[6],[8],有人在美国考过美国研究生入学考试吗？,
1049,r 线 or 全线 联系 方式 em@61,[0_2],[6],em@62,
1050,有 人 要 加入 family plan 吗 ？,[4_5],[7],有人要加入家庭套餐吗？,
1051,需要 注意 的 是 ， 要 与 房东 签 lease ， 一般 是 一 年 一 签 。,[9_10],[4_10_17],需要注意的是，要与房东签租金，一般是一年一签。,
1052,我们 是 两 个 女生 ， 在 pen state 短期 访问 。,[7_8],[5_11],我们是两个女生，在宾州州立大学短期访问。,
1053,还有 许多 碗 baking 盘,[3],,还有许多碗烤盘,
1054,randy 谢谢 ！,[0],[2],randy谢谢！,
1055,lease 可以 过来 以后 再 签 ， 包 n v nv vn ve 几 条 线路 的 bus 。,[0_8_9_10_11_12_17_18],[6_18],租金可以过来以后再签，包nvnvvnve几条线路的公交车。,
1056,hello ， 房子 还 有 吗,[0_1],[1],你好，房子还有吗,
1057,如 需要 ， 可以 提供 bus pass .,[5_6_7],[2_7],如需要，可以提供公交车卡.,
1058,小区 门口 有 三 个 公交 车站 可以 选择 ， 线路 有 ve ， v ， vn ， n ， nv 。,[12_13_14_15_16_17_18_19_20_21],[9_13_15_17_19_21],小区门口有三个公交车站可以选择，线路有ve，v，vn，n，nv。,
1059,html 有意 者 请 发 邮件 em@63,[0],[6],em@64,
1060,em@33 xiao he ， 可以,[0_1_2_3],[0_3],em@65,
1061,html 、 邮件 em@66,[0_1],[1_3],em@67,
1062,咖啡 机 gone,[2],,咖啡机没有了,
1063,panda 洗衣机 有 图 吗,[0],,熊猫洗衣机有图吗,
1064,有 兴趣 联系 邮件 sic em@68,[4_5],[5],em@69,
1065,本人 有 车 要 搬家 去 纽约 所以 要 拉 行李 ， 想 找 个人 送 过去 ， 但是 回程 需要 自己 回来 ， 可以 包 bus 票 。,[26],[11_17_23_28],本人有车要搬家去纽约所以要拉行李，想找个人送过去，但是回程需要自己回来，可以包公交车卡票。,
1066,html 联系 方式 ： em@70,[0],[3_4],em@71,
1067,说话 这么 mean,[2],,说话这么刻薄,
1068,至于 你 说 我 mean ， 我 只 能 说 你 太 贪心 。,[4_5],[5_13],至于你说我刻薄，我只能说你太贪心。,
1069,不 是 mean 是 什么 ？,[2],[5],不是刻薄是什么？,
1070,联系 方式 ： email : em@72,[3_4_5],[2_4_5],em@73,
1071,请 问 lease 从 什么 时候 开始,[2],,请问租金从什么时候开始,
1072,phd 新生 ， 男 ， 有意 lease 请 问 房租 如何 ？,[0_6],[2_4_11],研究生新生，男，有意租金请问房租如何？,
1073,有 bus pass 吗 ？,[1_2],[4],有公交车卡吗？,
1074,旁边 是 state high school ， 非常 安全 。,[2_3_4_5],[5_8],旁边是州立高中，非常安全。,
1075,email 联系 ： em@74,[0],[2_3],em@75,
1076,如果 有 合适 的 房型 ， 可以 考虑 提前 交 lease 。,[10_11],[5_11],如果有合适的房型，可以考虑提前交租金。,
1077,can you send me pictures of 厨具 （ 全新 的 ） ?,[0_1_2_3_4_5],[7_10_11],你能发给我照片厨具（全新的）?,
1078,在 wayne 的 帮助 下 终于 如愿 拿到 了 驾照 ， 赞 一 个 ！,[1],[10_14],在韦恩的帮助下终于如愿拿到了驾照，赞一个！,
1079,wayne 教 车 耐心 、 有 效率 ， 而且 从不 爽约 。,[0],[4_7_11],韦恩教车耐心、有效率，而且从不爽约。,
1080,我 有 过 一些 开车 经验 ， 但是 没有 国内 驾照 ， wayne 看 我 技术 还 可以 所以 整个 教学 过程 很 紧凑 ， 没有 废话 ， 我 的 提升 也 很 快 。,[12],[6_11_24_27_34],我有过一些开车经验，但是没有国内驾照，韦恩看我技术还可以所以整个教学过程很紧凑，没有废话，我的提升也很快。,
1081,今天 拿到 驾照 啦 ， 感谢 wayne ！,[6_7],[4_7],今天拿到驾照啦，感谢韦恩！,
1082,w cherry lane 两 室 一 厅 一 卫 ， 位于 学校 北面 。,[0_1_2],[9_13],wcherrylane两室一厅一卫，位于学校北面。,
1083,这 是 floor plan 。,[2_3_4],[4],这是平面图。,
1084,phd 新生 ， 男 ， 有意 ， 无 不良 嗜好 ， 不过 看 不 到 房间 的 图 。,[0],[2_4_6_10_18],研究生新生，男，有意，无不良嗜好，不过看不到房间的图。,
1085,希望 找到 可以 帮忙 kai che de ren,[4_5_6_7],,希望找到可以帮忙开车的人,
1086,如有 需要 请 尽快 email 我 ， 谢谢 ！,[4],[6_8],如有需要请尽快电子邮件我，谢谢！,
1087,最好 是 在 heights,[3],,最好是在heights,
1088,有 heights 的 吗,[1],,有heights的吗,
1089,因 突然 决定 回国 ， 现 紧急 出租 lion crossing 四 人间 卧室 一 间 ！,[8_9],[4_15],因突然决定回国，现紧急出租lioncrossing四人间卧室一间！,
1090,hello 请 问 房间 还 有 吗,[0],,你好请问房间还有吗,
1091,up up up 呀,[0_1_2],,upupup呀,
1092,hello 请 问 房间 还 有 吗,[0],,你好请问房间还有吗,
1093,大家 都 在 哪里 做 的 car inspection ？,[6_7_8],[8],大家都在哪里做的汽车检查？,
1094,有 推荐 比较 靠 谱 的 地方 吗 另外 joel confer 有 去 过 的 吗 ？,[9_10],[16],有推荐比较靠谱的地方吗另外joelconfer有去过的吗？,
1095,距离 penn state 大学 和 小学 、 高中 都 很 近 。,[1_2],[6_11],距离宾州州立大学大学和小学、高中都很近。,
1096,可以 email 联系 吗 ?,[1],[4],可以电子邮件联系吗?,
1097,park crest 离 东方 超市 以及 giant 都 非常 近 。,[0_1_6],[10],波峰公园离东方超市以及giant都非常近。,
1098,您 好 ， 请 问 lion crossing 考虑 吗,[5_6],[2],您好，请问lioncrossing考虑吗,
1099,park crest 是 村里 性价比 比较 高 的 小区 。,[0_1],[9],波峰公园是村里性价比比较高的小区。,
1100,我 的 lease 到 七月 底 结束 ， 可惜 了 。,[2],[7_10],我的租金到七月底结束，可惜了。,
1101,挺 想 搬到 park crest 的,[3_4],,挺想搬到波峰公园的,
1102,听说 park crest 有 收入 限制 ， 你 是 博士生 还是 本科 或 硕士 啊,[1_2],[6],听说波峰公园有收入限制，你是博士生还是本科或硕士啊,
1103,最近 两 三 天 有 人 去 纽约 jfk 机场 吗 ？,[8],[11],最近两三天有人去纽约肯尼迪机场吗？,
1104,部分 物品 已 出 ， 请 看 更新 的 list ， 谢谢 ！,[9_10],[4_10_12],部分物品已出，请看更新的列表，谢谢！,
1105,希望 房子 距离 ist 和 超市 不要 太远 ， 走路 / 公交 便利 。,[3],[8_10_13],希望房子距离ist和超市不要太远，走路/公交便利。,
1106,需要 ride 的 赶紧 联系 我,[1],,需要拼车的赶紧联系我,
1107,需要 ride 的 赶紧 联系 我 哈 ， 就 我 自己 一 人 。,[1],[7_13],需要拼车的赶紧联系我哈，就我自己一人。,
1108,转让 ： dell 11 .,[2_3_4],[1_4],转让：戴尔11.,[11]
1109,住 park forest apartments,[1_2_3],,住森林公园公寓,
1110,非常 适合 couple 使用 。,[2],[4],非常适合情侣使用。,
1111,已 更新 gone 的 和 预定 的 都 用 颜色 标记 了 欢迎 购买 和 咨询 ~,[2],[16],已更新没有了的和预定的都用颜色标记了欢迎购买和咨询~,
1112,可以 跟 我 email 联系 哦,[3],,可以跟我电子邮件联系哦,
1113,需要 ride 的 请 联系 ： pn-14,[1],[5_6],需要拼车的请联系：917-396-3378,
1114,本人 huck institute of life science 的 学生 ， 专业 是 biotechnology 。,[1_2_3_4_5_11_12],[8_12],本人哈克生命科学研究所的学生，专业是生物技术。,
1115,求 ride ， 可以 share 邮费 和 部分 辛苦 费 ， 单程 也 可以 谢谢 了 ！,[1_2_4],[2_10_16],求拼车，可以共享邮费和部分辛苦费，单程也可以谢谢了！,
1116,我 可以 给 ride,[3],,我可以给拼车,
1117,确认 过 了 ， 是 错 的 ， 那 一 家 公寓 确实 在 illinois 。,[14_15],[3_7_15],确认过了，是错的，那一家公寓确实在伊利诺伊。,
1118,randy 谢谢 ！,[0],[2],randy谢谢！,
1119,id=0b8zoh5xsqomflur4oxlfvxl1dza&usp = sharing 如 有 兴趣 ， 请 发 邮件 至 em@76,[0_1_2],[1_6_11],em@77,
1120,想 找 专业 人员 修补 地板 ， 去 哪 zhao,[9],[6],想找专业人员修补地板，去哪招,
1121,两 层 house 上下 各 有 一 间 卫生间 。,[2],[9],两层房子上下各有一间卫生间。,
1122,附近 有 fuji ， my thai ， 百度 等 中国 餐厅 。,[2_3_4_5_6],[3_6_11],附近有fuji，mythai，百度等中国餐厅。,
1123,woodbury 好 远 啊,[0],,woodbury好远啊,
1124,up up up 房子 还 在 哈,[0_1_2],,upupup房子还在哈,
1125,可以 一起 租车 ， 换 着 开 ， share 费用 。,[8],[3_7_10],可以一起租车，换着开，公共的费用。,
1126,可以 直接 提交 申请 ， 只 要是 penn state 职员 学生 学者 ， 然后 离 学校 步行 距离 0 .,[7_8],[4_12_19],可以直接提交申请，只要是宾州州立大学职员学生学者，然后离学校步行距离0.,[0]
1127,现在 一 次 卧 出租 ， 需要 与 另 一 次 卧 share 卫生间 。,[12],[5_14],现在一次卧出租，需要与另一次卧公共的卫生间。,
1128,prefer 短信 先 。,[0],[3],比较喜欢短信先。,
